§Compagnie§link§Note globale§Espace pour les jambes§Confort des sièges§Divertissement à bord (Wi-Fi, film, télévision)§Expérience à bord§Service client§Rapport qualité/prix§Propreté§Enregistrement et embarquement§Restauration et boissons§Prix§Avis
39§LATAM Airlines§https://www.tripadvisor.fr/Airline_Review-d10290698-Reviews-LATAM-Airlines#REVIEWS§3,5§30§30§35§35§35§35§40§40§30§"[""Lauréat Travellers' Choice 2018""]"§38 142 avis
40§Saudia Airlines§https://www.tripadvisor.fr/Airline_Review-d8729144-Reviews-Saudia-Airlines#REVIEWS§3,5§40§35§30§35§35§35§35§35§35§"[""Lauréat Travellers' Choice 2018""]"§2 875 avis
41§Swiss International Air Lines§https://www.tripadvisor.fr/Airline_Review-d8729160-Reviews-Swiss-International-Air-Lines#REVIEWS§4,0§35§35§35§35§40§35§45§40§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§13 168 avis
42§Virgin Atlantic Airways§https://www.tripadvisor.fr/Airline_Review-d8729182-Reviews-Virgin-Atlantic-Airways#REVIEWS§4,0§40§40§40§40§45§40§45§45§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§14 430 avis
43§Air Canada§https://www.tripadvisor.fr/Airline_Review-d8728998-Reviews-Air-Canada#REVIEWS§3,5§35§35§35§30§35§30§35§35§30§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§25 021 avis
44§Luxair§https://www.tripadvisor.fr/Airline_Review-d8729114-Reviews-Luxair#REVIEWS§4,0§35§40§30§40§45§40§45§45§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§1 526 avis
45§La Compagnie§https://www.tripadvisor.fr/Airline_Review-d10533118-Reviews-La-Compagnie#REVIEWS§4,0§45§45§40§40§40§45§45§45§40§"[""Lauréat Travellers' Choice 2019""]"§456 avis
46§Pegasus Airlines§https://www.tripadvisor.fr/Airline_Review-d8728979-Reviews-Pegasus-Airlines#REVIEWS§3,0§30§30§15§25§30§35§35§35§25§§5 373 avis
47§Alitalia§https://www.tripadvisor.fr/Airline_Review-d8729018-Reviews-Alitalia#REVIEWS§3,0§30§30§25§30§35§30§35§35§30§§19 037 avis
48§Brussels Airlines§https://www.tripadvisor.fr/Airline_Review-d8729040-Reviews-Brussels-Airlines#REVIEWS§3,5§35§35§25§30§35§35§40§35§30§§7 221 avis
